Designator,Mid X,Mid Y,Rotation,Layer
C1,68.58,-93.719,90.0,bottom
C10,65.786,-114.15,180.0,bottom
C11,63.353,-66.779,0.0,bottom
C12,58.527,-66.779,0.0,bottom
C13,69.088,-108.054,270.0,bottom
C14,52.832,-108.161,270.0,bottom
C2,53.34,-93.6756,90.0,bottom
C3,58.42,-79.987,0.0,bottom
C4,53.594,-65.489,270.0,bottom
C5,67.33,-79.987,180.0,bottom
C6,68.326,-65.509,270.0,bottom
C7,58.42,-127.485,0.0,bottom
C8,56.134,-114.15,0.0,bottom
C9,63.5,-127.485,180.0,bottom
IC1,63.5,-120.627,180.0,top
IC2,58.44,-120.637,180.0,bottom
J1,55.88,-57.8866,270.0,top
J2,66.04,-57.8866,270.0,top
J3,60.96,-86.21,90.0,bottom
J4,55.88,-136.9314,270.0,top
J5,60.96,-150.3426,270.0,top
J6,66.04,-136.9314,270.0,top
POT1,60.96,-103.525,0.0,top
R1,54.02,-79.987,180.0,bottom
R10,55.814,-111.483,0.0,bottom
R11,67.31,-128.165,270.0,bottom
R12,54.61,-128.165,270.0,bottom
R13,59.7154,-113.1746,90.0,bottom
R14,62.23,-113.1746,90.0,bottom
R2,62.947,-63.477,0.0,bottom
R3,59.116,-63.477,180.0,bottom
R4,62.82,-79.987,0.0,bottom
R5,69.088,-98.574,270.0,bottom
R6,52.832,-98.717,270.0,bottom
R7,69.088,-103.167,270.0,bottom
R8,52.832,-103.289,270.0,bottom
R9,66.228,-111.483,180.0,bottom
U1,58.43,-73.393,180.0,bottom
U2,63.5,-73.383,180.0,top
